nodenumber     x-coordinate     y-coordinate     z-coordinate     x-velocity     y-velocity     z-velocity     velocity-magnitude     pressure
          15   1.6781526232E-02   -1.7787076100E-01   1.1237980285E+00   1.0428612519E-02   1.4457516767E-02   1.1909951434E-01   1.2042620175E-01   1.2830438430E+04
          16   1.6781642049E-02   -1.7793398717E-01   1.1245529844E+00   1.0415583098E-02   1.4443947953E-02   1.1903690187E-01   1.2036152213E-01   1.2828601986E+04
          17   1.6782891556E-02   -1.7877010452E-01   1.1237688003E+00   1.0447094625E-02   1.4433147371E-02   1.1909260574E-01   1.2041804794E-01   1.2823451359E+04
          18   1.6784060362E-02   -1.7784157746E-01   1.1243047674E+00   1.0419591257E-02   1.4453359155E-02   1.1906090073E-01   1.2038673330E-01   1.2829786177E+04
          19   1.6784147947E-02   -1.7842094762E-01   1.1248928339E+00   1.0419693459E-02   1.4427147779E-02   1.1900613941E-01   1.2032943872E-01   1.2824258919E+04
          20   1.6784304736E-02   -1.7793358135E-01   1.1245845735E+00   1.0416152755E-02   1.4446492517E-02   1.1903708831E-01   1.2036206120E-01   1.2828577165E+04
          21   1.6799357528E-02   -1.7805985478E-01   1.1234381967E+00   1.0446858400E-02   1.4477750918E-02   1.1914514014E-01   1.2047533582E-01   1.2829799449E+04
          22   1.6800926515E-02   -1.7776684598E-01   1.1238305695E+00   1.0434613260E-02   1.4482229561E-02   1.1911834470E-01   1.2044831327E-01   1.2831394918E+04
          23   1.6801779951E-02   -1.7891487530E-01   1.1238106567E+00   1.0457546477E-02   1.4450013330E-02   1.1910705477E-01   1.2043526751E-01   1.2822426439E+04
          24   1.6809231564E-02   -1.7825799789E-01   1.1250600440E+00   1.0424455935E-02   1.4457877269E-02   1.1902017413E-01   1.2034741936E-01   1.2825496028E+04
          25   1.6809570353E-02   -1.7771770634E-01   1.1240022426E+00   1.0434259503E-02   1.4490872394E-02   1.1911385980E-01   1.2044488678E-01   1.2831562291E+04
          26   1.6811437462E-02   -1.7854924949E-01   1.1250379342E+00   1.0431569976E-02   1.4452344750E-02   1.1902106490E-01   1.2034825221E-01   1.2823295708E+04
          27   1.6813353971E-02   -1.7903756250E-01   1.1244164992E+00   1.0453812519E-02   1.4450486982E-02   1.1906841008E-01   1.2039678172E-01   1.2820537939E+04
          28   1.6813872632E-02   -1.7854025601E-01   1.1250577573E+00   1.0432096895E-02   1.4455074828E-02   1.1902204888E-01   1.2034959890E-01   1.2823359485E+04
          29   1.6815735516E-02   -1.7906268498E-01   1.1240293400E+00   1.0462607080E-02   1.4458518015E-02   1.1910204163E-01   1.2043176994E-01   1.2821020579E+04
          30   1.6816769894E-02   -1.7891112816E-01   1.1236958628E+00   1.0466269960E-02   1.4469076507E-02   1.1913187189E-01   1.2046285686E-01   1.2822806346E+04
          31   1.6819012065E-02   -1.7905043069E-01   1.1239264038E+00   1.0465739790E-02   1.4464211049E-02   1.1911391159E-01   1.2044446456E-01   1.2821324987E+04
          32   1.6828283146E-02   -1.7822641198E-01   1.1251819884E+00   1.0429983646E-02   1.4478662698E-02   1.1903026256E-01   1.2036037404E-01   1.2825730108E+04
          33   1.6828518001E-02   -1.7766468637E-01   1.1243850228E+00   1.0434393294E-02   1.4508085697E-02   1.1910279774E-01   1.2043603092E-01   1.2831485585E+04
          34   1.6828879196E-02   -1.7913863142E-01   1.1242201103E+00   1.0466418269E-02   1.4468572594E-02   1.1909925540E-01   1.2043055319E-01   1.2820226292E+04
          35   1.6832085402E-02   -1.7764294999E-01   1.1243474548E+00   1.0436278100E-02   1.4513416914E-02   1.1910988243E-01   1.2044384278E-01   1.2831758966E+04
          36   1.6833259947E-02   -1.7762824251E-01   1.1241948380E+00   1.0439414759E-02   1.4517594262E-02   1.1912386537E-01   1.2045844604E-01   1.2832161453E+04
          37   1.6843157616E-02   -1.7839354905E-01   1.1232813277E+00   1.0475614783E-02   1.4520511169E-02   1.1919914535E-01   1.2053638455E-01   1.2827908364E+04
          38   1.6846212733E-02   -1.7767452450E-01   1.1235457025E+00   1.0458334358E-02   1.4541180816E-02   1.1919023770E-01   1.2052856698E-01   1.2833110357E+04
          39   1.6846363170E-02   -1.7850872671E-01   1.1252960010E+00   1.0441410477E-02   1.4489464595E-02   1.1903646684E-01   1.2036880026E-01   1.2823525651E+04
          40   1.6848556089E-02   -1.7891582311E-01   1.1250312293E+00   1.0455502445E-02   1.4484720181E-02   1.1905592902E-01   1.2038869915E-01   1.2820814768E+04
          41   1.6848982033E-02   -1.7914232609E-01   1.1246903905E+00   1.0466650661E-02   1.4484303104E-02   1.1908168869E-01   1.2041509205E-01   1.2819603687E+04
          42   1.6850568416E-02   -1.7808709189E-01   1.1252907512E+00   1.0435102898E-02   1.4506520014E-02   1.1904603739E-01   1.2037977202E-01   1.2826848970E+04
          43   1.6852986826E-02   -1.7920358449E-01   1.1239392126E+00   1.0483703107E-02   1.4498907374E-02   1.1914614484E-01   1.2048207409E-01   1.2820424692E+04
          44   1.6855661703E-02   -1.7755375508E-01   1.1242203076E+00   1.0447471494E-02   1.4545064762E-02   1.1914614484E-01   1.2048449029E-01   1.2832925403E+04
          45   1.6855884341E-02   -1.7909772342E-01   1.1248423834E+00   1.0465982054E-02   1.4491109220E-02   1.1907691378E-01   1.2041113080E-01   1.2819771749E+04
          46   1.6857152267E-02   -1.7800711736E-01   1.1252914626E+00   1.0436467173E-02   1.4516400922E-02   1.1905377461E-01   1.2038873283E-01   1.2827532250E+04
          47   1.6857332344E-02   -1.7769915448E-01   1.1249444897E+00   1.0437210806E-02   1.4531194653E-02   1.1908627716E-01   1.2042272375E-01   1.2830521858E+04
          48   1.6860096375E-02   -1.7901421595E-01   1.1250042341E+00   1.0463136553E-02   1.4495720749E-02   1.1906894868E-01   1.2040356177E-01   1.2820200781E+04
          49   1.6861516844E-02   -1.7783853887E-01   1.1251971214E+00   1.0436942178E-02   1.4527854090E-02   1.1906809935E-01   1.2040432131E-01   1.2829042222E+04
          50   1.6861744690E-02   -1.7924073392E-01   1.1246097074E+00   1.0475852053E-02   1.4497603515E-02   1.1910035332E-01   1.2043595038E-01   1.2819085022E+04
          51   1.6864837546E-02   -1.7885474836E-01   1.1234194504E+00   1.0491700030E-02   1.4530224982E-02   1.1920459351E-01   1.2054434172E-01   1.2824218929E+04
          52   1.6866393479E-02   -1.7869648434E-01   1.1233062795E+00   1.0491389593E-02   1.4538209965E-02   1.1921735423E-01   1.2055789628E-01   1.2825692014E+04
          53   1.6868283837E-02   -1.7750847133E-01   1.1241323494E+00   1.0453905895E-02   1.4562278066E-02   1.1916721246E-01   1.2050796081E-01   1.2833571278E+04
          54   1.6871783257E-02   -1.7932593094E-01   1.1245176902E+00   1.0483792417E-02   1.4508343575E-02   1.1911723642E-01   1.2045463025E-01   1.2818657196E+04
          55   1.6871910796E-02   -1.7759895003E-01   1.1248108281E+00   1.0444324034E-02   1.4553006328E-02   1.1911378729E-01   1.2045317854E-01   1.2831685191E+04
          56   1.6872873033E-02   -1.7898066320E-01   1.1251446313E+00   1.0465517850E-02   1.4509177729E-02   1.1907102023E-01   1.2040743814E-01   1.2820355915E+04
          57   1.6875030276E-02   -1.7750402354E-01   1.1244035964E+00   1.0451658041E-02   1.4565860717E-02   1.1915192446E-01   1.2049308095E-01   1.2833182926E+04
          58   1.6878533144E-02   -1.7747512691E-01   1.1240504438E+00   1.0459395860E-02   1.4576332373E-02   1.1918517277E-01   1.2052789650E-01   1.2834083221E+04
          59   1.6880985222E-02   -1.7746799268E-01   1.1240164387E+00   1.0460997521E-02   1.4579896605E-02   1.1919063129E-01   1.2053386429E-01   1.2834222325E+04
          60   1.6885518694E-02   -1.7856936775E-01   1.1255434518E+00   1.0455393856E-02   1.4528902703E-02   1.1905600152E-01   1.2039408529E-01   1.2823026464E+04
          61   1.6885745360E-02   -1.7810154896E-01   1.1255159244E+00   1.0446775129E-02   1.4542933328E-02   1.1906388375E-01   1.2040282569E-01   1.2826707108E+04
          62   1.6887255207E-02   -1.7757739377E-01   1.1249417025E+00   1.0448257284E-02   1.4569193385E-02   1.1911928725E-01   1.2046091512E-01   1.2831776893E+04
          63   1.6891177577E-02   -1.7768980080E-01   1.1252228079E+00   1.0446798705E-02   1.4565897557E-02   1.1909873751E-01   1.2044006913E-01   1.2830449289E+04
          64   1.6895008926E-02   -1.7802453160E-01   1.1255495717E+00   1.0448762369E-02   1.4555298277E-02   1.1907165205E-01   1.2041217407E-01   1.2827335402E+04
          65   1.6895335826E-02   -1.7871425416E-01   1.1255311487E+00   1.0462913917E-02   1.4536395615E-02   1.1906555135E-01   1.2040508662E-01   1.2822013955E+04
          66   1.6897762872E-02   -1.7911734843E-01   1.1251777049E+00   1.0478796619E-02   1.4533708955E-02   1.1909250216E-01   1.2043279431E-01   1.2819467169E+04
          67   1.6898460111E-02   -1.7944743203E-01   1.1241601069E+00   1.0504869282E-02   1.4541547896E-02   1.1917231883E-01   1.2051493878E-01   1.2818539639E+04
          68   1.6903849543E-02   -1.7875718820E-01   1.1232773802E+00   1.0509841620E-02   1.4580220267E-02   1.1925772866E-01   1.2060450008E-01   1.2825629788E+04
          69   1.6911229348E-02   -1.7946885738E-01   1.1239911633E+00   1.0514166372E-02   1.4558420433E-02   1.1919889676E-01   1.2054406783E-01   1.2818772513E+04
          70   1.6913181497E-02   -1.7914413935E-01   1.1252518518E+00   1.0484854965E-02   1.4549690764E-02   1.1910204163E-01   1.2044468442E-01   1.2819278078E+04
          71   1.6913409830E-02   -1.7769155371E-01   1.1253763713E+00   1.0453824598E-02   1.4588988092E-02   1.1910922989E-01   1.2045384871E-01   1.2830392751E+04
          72   1.6914113214E-02   -1.7868206798E-01   1.1232760625E+00   1.0512975491E-02   1.4594227210E-02   1.1926941218E-01   1.2061802023E-01   1.2826335648E+04
          73   1.6917841470E-02   -1.7911065587E-01   1.1253224138E+00   1.0484936029E-02   1.4554886463E-02   1.1910145124E-01   1.2044473542E-01   1.2819471995E+04
          74   1.6923003988E-02   -1.7848772227E-01   1.1258151360E+00   1.0465392769E-02   1.4570213053E-02   1.1907345430E-01   1.2041720422E-01   1.2823568399E+04
          75   1.6923441474E-02   -1.7849137277E-01   1.1258178387E+00   1.0465611341E-02   1.4570578817E-02   1.1907366145E-01   1.2041747232E-01   1.2823539613E+04
          76   1.6927103600E-02   -1.7798217027E-01   1.1232715165E+00   1.0505331628E-02   1.4629368241E-02   1.1929285173E-01   1.2064478804E-01   1.2832030279E+04
          77   1.6927890883E-02   -1.7952956780E-01   1.1248501881E+00   1.0506903093E-02   1.4562858290E-02   1.1914575125E-01   1.2049141834E-01   1.2817018635E+04
          78   1.6928622641E-02   -1.7930634757E-01   1.1235720240E+00   1.0526444960E-02   1.4589442009E-02   1.1925265338E-01   1.2060204475E-01   1.2820951113E+04
          79   1.6928852010E-02   -1.7912270764E-01   1.1253823953E+00   1.0488987160E-02   1.4566396207E-02   1.1910776945E-01   1.2045272722E-01   1.2819385637E+04
          80   1.6930159129E-02   -1.7787406718E-01   1.1256666625E+00   1.0459305853E-02   1.4598337456E-02   1.1910041547E-01   1.2044674134E-01   1.2828647320E+04
          81   1.6932847346E-02   -1.7808015066E-01   1.1258236761E+00   1.0461559165E-02   1.4592999661E-02   1.1908774796E-01   1.2043376426E-01   1.2826810531E+04
          82   1.6932998814E-02   -1.7954333660E-01   1.1248774997E+00   1.0508975926E-02   1.4568018465E-02   1.1914864106E-01   1.2049508041E-01   1.2816911764E+04
          83   1.6934144575E-02   -1.7891997586E-01   1.1256210518E+00   1.0482746245E-02   1.4574260146E-02   1.1909597200E-01   1.2044146950E-01   1.2820632916E+04
          84   1.6934240316E-02   -1.7745374471E-01   1.1250783799E+00   1.0464260190E-02   1.4624794868E-02   1.1915878127E-01   1.2050809317E-01   1.2832967979E+04
          85   1.6934931876E-02   -1.7789795734E-01   1.1257190837E+00   1.0460909953E-02   1.4602327975E-02   1.1910076763E-01   1.2044771259E-01   1.2828420479E+04
          86   1.6937415917E-02   -1.7750195446E-01   1.1252343595E+00   1.0463629095E-02   1.4624546201E-02   1.1914853748E-01   1.2049787910E-01   1.2832346925E+04
          87   1.6941350362E-02   -1.7898083682E-01   1.1256114057E+00   1.0487398971E-02   1.4581135994E-02   1.1910352278E-01   1.2045017312E-01   1.2820240599E+04
          88   1.6941486649E-02   -1.7902931010E-01   1.1255649371E+00   1.0489321173E-02   1.4580718917E-02   1.1910692012E-01   1.2045364936E-01   1.2819937053E+04
          89   1.6953805431E-02   -1.7738512517E-01   1.1250609225E+00   1.0472049574E-02   1.4649715542E-02   1.1918168221E-01   1.2053444057E-01   1.2833723827E+04
          90   1.6956356268E-02   -1.7868289689E-01   1.1259437097E+00   1.0481834328E-02   1.4601435930E-02   1.1909520553E-01   1.2044392372E-01   1.2822158402E+04
          91   1.6957576050E-02   -1.7768544220E-01   1.1256514577E+00   1.0468215274E-02   1.4635780963E-02   1.1913267979E-01   1.2048396163E-01   1.2830400853E+04
          92   1.6958293161E-02   -1.7925191761E-01   1.1254242276E+00   1.0504075129E-02   1.4596553367E-02   1.1913325983E-01   1.2048289738E-01   1.2818570838E+04
          93   1.6962684914E-02   -1.7945146758E-01   1.1252208381E+00   1.0513995068E-02   1.4599643947E-02   1.1915220411E-01   1.2050286902E-01   1.2817362343E+04
          94   1.6963565462E-02   -1.7723231916E-01   1.1241541343E+00   1.0490852687E-02   1.4680014798E-02   1.1926935004E-01   1.2062644272E-01   1.2836644831E+04
          95   1.6964299777E-02   -1.7909222757E-01   1.1232905010E+00   1.0543381964E-02   1.4641116127E-02   1.1931498619E-01   1.2067141797E-01   1.2823499623E+04
          96   1.6968813853E-02   -1.7921836444E-01   1.1255256320E+00   1.0506216716E-02   1.4608117055E-02   1.1913619106E-01   1.2048738397E-01   1.2818771478E+04
          97   1.6973530048E-02   -1.7724471177E-01   1.1246931827E+00   1.0485260752E-02   1.4682602780E-02   1.1923490023E-01   1.2059220932E-01   1.2835671278E+04
          98   1.6978521377E-02   -1.7726554011E-01   1.1248955400E+00   1.0484023184E-02   1.4684534228E-02   1.1922304063E-01   1.2058061081E-01   1.2835191913E+04
          99   1.6980028675E-02   -1.7918289998E-01   1.1256334671E+00   1.0508509051E-02   1.4620446480E-02   1.1913936053E-01   1.2049221321E-01   1.2818976945E+04
         100   1.6980204145E-02   -1.7939429206E-01   1.1253941332E+00   1.0517449480E-02   1.4618880797E-02   1.1915670973E-01   1.2050995765E-01   1.2817695709E+04
         101   1.6980375143E-02   -1.7725558055E-01   1.1248706093E+00   1.0485139736E-02   1.4687369561E-02   1.1922720443E-01   1.2058517014E-01   1.2835333947E+04
         102   1.6980763208E-02   -1.7724771463E-01   1.1235053846E+00   1.0511220760E-02   1.4709761460E-02   1.1934108767E-01   1.2070276737E-01   1.2837889007E+04
         103   1.6981605667E-02   -1.7838397900E-01   1.1232683298E+00   1.0537542190E-02   1.4681129196E-02   1.1934419499E-01   1.2070464874E-01   1.2829388689E+04
         104   1.6982111435E-02   -1.7719144573E-01   1.1244066617E+00   1.0493581352E-02   1.4698712211E-02   1.1926851106E-01   1.2062812740E-01   1.2836693957E+04
         105   1.6982922956E-02   -1.7862726719E-01   1.1261370413E+00   1.0489003767E-02   1.4630822090E-02   1.1910748980E-01   1.2046026017E-01   1.2822520209E+04
         106   1.6990105957E-02   -1.7786680330E-01   1.1232650734E+00   1.0531498478E-02   1.4705922247E-02   1.1936098487E-01   1.2072373967E-01   1.2833577484E+04
         107   1.6991464304E-02   -1.7808479087E-01   1.1262026246E+00   1.0480753547E-02   1.4654829668E-02   1.1911748500E-01   1.2047234314E-01   1.2826692974E+04
         108   1.6991556204E-02   -1.7768433867E-01   1.1258771397E+00   1.0479136904E-02   1.4671603528E-02   1.1914955254E-01   1.2050595060E-01   1.2830345349E+04
         109   1.6992077148E-02   -1.7727230105E-01   1.1251006477E+00   1.0486314589E-02   1.4696774185E-02   1.1922016118E-01   1.2057945429E-01   1.2834906122E+04
         110   1.6994131072E-02   -1.7829378414E-01   1.1232667288E+00   1.0541450935E-02   1.4698306976E-02   1.1935867510E-01   1.2072139718E-01   1.2830232618E+04
         111   1.6995871028E-02   -1.7985541239E-01   1.1240791105E+00   1.0558638334E-02   1.4645964482E-02   1.1927446676E-01   1.2063327708E-01   1.2816284678E+04
         112   1.6996223549E-02   -1.7989942375E-01   1.1241826689E+00   1.0557807366E-02   1.4643669901E-02   1.1926598377E-01   1.2062453834E-01   1.2815760841E+04
         113   1.6996514611E-02   -1.7988734945E-01   1.1248522074E+00   1.0545261195E-02   1.4633904775E-02   1.1921223752E-01   1.2056911410E-01   1.2814773326E+04
         114   1.6997121462E-02   -1.7987606533E-01   1.1248825530E+00   1.0544730560E-02   1.4634420530E-02   1.1921051813E-01   1.2056743026E-01   1.2814816764E+04
         115   1.6998157518E-02   -1.7774504049E-01   1.1259937394E+00   1.0481064100E-02   1.4675661147E-02   1.1914601019E-01   1.2050310983E-01   1.2829738775E+04
         116   1.6998668400E-02   -1.7726132677E-01   1.1233456418E+00   1.0522550616E-02   1.4732665166E-02   1.1937302055E-01   1.2073811962E-01   1.2838256330E+04
         117   1.7004304472E-02   -1.7860242679E-01   1.1262800695E+00   1.0495427832E-02   1.4654167871E-02   1.1911821005E-01   1.2047425703E-01   1.2822674309E+04
         118   1.7004703768E-02   -1.7986425304E-01   1.1249833948E+00   1.0546028172E-02   1.4642042380E-02   1.1921024883E-01   1.2056820286E-01   1.2814820728E+04
         119   1.7009224317E-02   -1.7942126699E-01   1.1233877226E+00   1.0568501829E-02   1.4683502719E-02   1.1934938421E-01   1.2071277478E-01   1.2821086253E+04
         120   1.7009407757E-02   -1.7981093960E-01   1.1251063373E+00   1.0544736135E-02   1.4646982833E-02   1.1920565000E-01   1.2056414292E-01   1.2815093592E+04
         121   1.7012787860E-02   -1.7716401251E-01   1.1248586045E+00   1.0498207947E-02   1.4727924699E-02   1.1926369472E-01   1.2062733112E-01   1.2836385067E+04
         122   1.7013496770E-02   -1.7719506359E-01   1.1250411749E+00   1.0495619692E-02   1.4724897273E-02   1.1924876923E-01   1.2061197948E-01   1.2835819345E+04
         123   1.7013658504E-02   -1.8000817734E-01   1.1247372418E+00   1.0557707022E-02   1.4652836383E-02   1.1923784182E-01   1.2059781803E-01   1.2814130381E+04
         124   1.7015839819E-02   -1.7856029316E-01   1.1263685356E+00   1.0498102610E-02   1.4667388025E-02   1.1912341998E-01   1.2048125007E-01   1.2822959756E+04
         125   1.7016334089E-02   -1.7989346148E-01   1.1250361075E+00   1.0550926065E-02   1.4654163924E-02   1.1921760282E-01   1.2057737509E-01   1.2814600265E+04
         126   1.7018699481E-02   -1.7829776527E-01   1.1264248371E+00   1.0493048278E-02   1.4677061052E-02   1.1912491150E-01   1.2048346244E-01   1.2824925479E+04
         127   1.7023756034E-02   -1.7710245062E-01   1.1236440485E+00   1.0525217612E-02   1.4761922388E-02   1.1937728794E-01   1.2074614459E-01   1.2839189893E+04
         128   1.7024099596E-02   -1.7964367155E-01   1.1235518077E+00   1.0576759251E-02   1.4692709988E-02   1.1934866953E-01   1.2071391172E-01   1.2819134837E+04
         129   1.7024378581E-02   -1.7708353677E-01   1.1243722842E+00   1.0511220644E-02   1.4751594142E-02   1.1931759634E-01   1.2068464727E-01   1.2838010701E+04
         130   1.7025264612E-02   -1.7995985679E-01   1.1240615555E+00   1.0574452864E-02   1.4678207026E-02   1.1930489776E-01   1.2066866804E-01   1.2815730849E+04
         131   1.7026492461E-02   -1.7759094935E-01   1.1259896436E+00   1.0490901697E-02   1.4713161229E-02   1.1917805701E-01   1.2054022318E-01   1.2831207206E+04
         132   1.7027135649E-02   -1.7711669310E-01   1.1234965226E+00   1.0529817030E-02   1.4767768043E-02   1.1939291775E-01   1.2076271291E-01   1.2839387948E+04
         133   1.7027527219E-02   -1.7961896330E-01   1.1254265357E+00   1.0542899991E-02   1.4668087977E-02   1.1920028470E-01   1.2056124343E-01   1.2816283643E+04
         134   1.7028407761E-02   -1.7711765541E-01   1.1248382029E+00   1.0504758486E-02   1.4747814136E-02   1.1928254578E-01   1.2064896892E-01   1.2836935104E+04
         135   1.7028984459E-02   -1.7874965225E-01   1.1232656375E+00   1.0566124133E-02   1.4726449799E-02   1.1938858822E-01   1.2075655800E-01   1.2826915850E+04
         136   1.7030783180E-02   -1.7706227102E-01   1.1242225320E+00   1.0516576819E-02   1.4762084219E-02   1.1933718281E-01   1.2070576092E-01   1.2838511612E+04
         137   1.7032906966E-02   -1.8011199658E-01   1.1244024753E+00   1.0574833448E-02   1.4678183344E-02   1.1928352977E-01   1.2064757206E-01   1.2814000068E+04
         138   1.7034396535E-02   -1.7958432964E-01   1.1234558672E+00   1.0581967349E-02   1.4707841854E-02   1.1936777954E-01   1.2073510441E-01   1.2819871897E+04
         139   1.7036599481E-02   -1.7979546450E-01   1.1237159857E+00   1.0582531548E-02   1.4701046263E-02   1.1934640119E-01   1.2071318988E-01   1.2817738457E+04
         140   1.7038880654E-02   -1.7704466281E-01   1.1238113835E+00   1.0527766495E-02   1.4778621252E-02   1.1938029168E-01   1.2075137910E-01   1.2839481890E+04
         141   1.7039929871E-02   -1.7993540429E-01   1.1239157836E+00   1.0583275413E-02   1.4698374076E-02   1.1933201430E-01   1.2069870569E-01   1.2816295537E+04
         142   1.7039984366E-02   -1.7704156506E-01   1.1238216124E+00   1.0528006204E-02   1.4779827749E-02   1.1938065420E-01   1.2075190607E-01   1.2839498438E+04
         143   1.7044699159E-02   -1.7989396731E-01   1.1252150235E+00   1.0560438940E-02   1.4684755265E-02   1.1923214507E-01   1.2059630727E-01   1.2814563895E+04
         144   1.7046286712E-02   -1.8004325548E-01   1.1250084300E+00   1.0568191741E-02   1.4686205167E-02   1.1924894531E-01   1.2061377308E-01   1.2813702038E+04
         145   1.7048658551E-02   -1.7703168313E-01   1.1237008568E+00   1.0534047362E-02   1.4792187435E-02   1.1940007494E-01   1.2077314627E-01   1.2839881791E+04
         146   1.7051710313E-02   -1.7934144511E-01   1.1232663276E+00   1.0588340894E-02   1.4737458261E-02   1.1940418696E-01   1.2077526859E-01   1.2822325602E+04
         147   1.7052899750E-02   -1.7793379265E-01   1.1265056510E+00   1.0499697418E-02   1.4725931413E-02   1.1915843947E-01   1.2052315295E-01   1.2827916638E+04
         148   1.7053896515E-02   -1.7954081234E-01   1.1256580303E+00   1.0548864497E-02   1.4697463612E-02   1.1920940986E-01   1.2057436451E-01   1.2816767145E+04
         149   1.7056811117E-02   -1.7913752381E-01   1.1232648800E+00   1.0586517061E-02   1.4748807490E-02   1.1941225563E-01   1.2078447111E-01   1.2824034491E+04
         150   1.7057365765E-02   -1.7940783255E-01   1.1258318223E+00   1.0544391321E-02   1.4702197501E-02   1.1920030541E-01   1.2056554902E-01   1.2817573843E+04
         151   1.7059339023E-02   -1.8019463186E-01   1.1243766359E+00   1.0589061066E-02   1.4707806330E-02   1.1931177530E-01   1.2068035261E-01   1.2813595168E+04
         152   1.7059427685E-02   -1.7699050901E-01   1.1239604189E+00   1.0533174119E-02   1.4801849936E-02   1.1939049404E-01   1.2076478206E-01   1.2839829391E+04
         153   1.7059462401E-02   -1.7699077948E-01   1.1241960117E+00   1.0528684916E-02   1.4798105454E-02   1.1937087650E-01   1.2074453730E-01   1.2839393808E+04
         154   1.7060216834E-02   -1.7961218141E-01   1.1256128304E+00   1.0554076428E-02   1.4703825022E-02   1.1921879396E-01   1.2058487398E-01   1.2816325357E+04
         155   1.7060813273E-02   -1.7887198602E-01   1.1264523153E+00   1.0523201802E-02   1.4710389049E-02   1.1915941309E-01   1.2052426748E-01   1.2820803564E+04
         156   1.7069767245E-02   -1.7917561475E-01   1.1261875683E+00   1.0538507647E-02   1.4717164904E-02   1.1918674714E-01   1.2055345611E-01   1.2818939196E+04
         157   1.7069970696E-02   -1.7949892337E-01   1.1257932310E+00   1.0552742465E-02   1.4715353185E-02   1.1921538627E-01   1.2058279444E-01   1.2817025702E+04
         158   1.7072244451E-02   -1.8016339967E-01   1.1249545975E+00   1.0583540440E-02   1.4714817695E-02   1.1927857877E-01   1.2064790318E-01   1.2813040477E+04
         159   1.7076091028E-02   -1.7805533803E-01   1.1232579264E+00   1.0573999112E-02   1.4801189455E-02   1.1944871484E-01   1.2082582565E-01   1.2832924541E+04
         160   1.7076532937E-02   -1.7813865576E-01   1.1267399758E+00   1.0510013736E-02   1.4744149912E-02   1.1916112212E-01   1.2052893167E-01   1.2826155693E+04
         161   1.7077816722E-02   -1.7861284796E-01   1.1232604180E+00   1.0585597130E-02   1.4787671953E-02   1.1944181659E-01   1.2081836640E-01   1.2828476672E+04
         162   1.7078434854E-02   -1.8027090405E-01   1.1245247663E+00   1.0596629324E-02   1.4726278758E-02   1.1931852854E-01   1.2068994611E-01   1.2812899995E+04
         163   1.7079206469E-02   -1.7795731948E-01   1.1266601258E+00   1.0509119589E-02   1.4753608479E-02   1.1917282635E-01   1.2054158245E-01   1.2827715825E+04
         164   1.7079296037E-02   -1.7811263151E-01   1.1267471429E+00   1.0510604415E-02   1.4747993071E-02   1.1916374263E-01   1.2053204413E-01   1.2826372018E+04
         165   1.7079341134E-02   -1.7919727611E-01   1.1262176716E+00   1.0542732868E-02   1.4727410260E-02   1.1919391469E-01   1.2056216292E-01   1.2818806642E+04
